price,year,manufacturer,condition,cylinders,fuel,odometer,transmission,drive,type,vehicle_age,price_tier
5980,2010.0,ford,,4 cylinders,gas,178753.0,manual,fwd,sedan,13.0,budget
7480,2013.0,hyundai,,4 cylinders,gas,117271.0,automatic,fwd,sedan,10.0,budget
8950,2011.0,ford,excellent,6 cylinders,gas,164000.0,automatic,fwd,truck,12.0,budget
5980,2013.0,jeep,,4 cylinders,gas,106290.0,manual,fwd,SUV,10.0,budget
4499,2005.0,toyota,,4 cylinders,gas,170687.0,automatic,fwd,sedan,18.0,budget
5980,2006.0,other,,8 cylinders,gas,160566.0,automatic,rwd,sedan,17.0,budget
6980,2008.0,other,,6 cylinders,gas,148095.0,automatic,rwd,sedan,15.0,budget
5480,2005.0,dodge,,8 cylinders,gas,178667.0,automatic,rwd,SUV,18.0,budget
36990,2017.0,ford,good,6 cylinders,other,15443.0,automatic,4wd,pickup,6.0,premium
29990,2017.0,jeep,good,6 cylinders,gas,28680.0,other,4wd,other,6.0,premium
24990,2017.0,other,good,,other,21314.0,other,fwd,sedan,6.0,premium
32500,2014.0,chevrolet,good,8 cylinders,gas,80000.0,automatic,rwd,sedan,9.0,premium
4380,2007.0,hyundai,,6 cylinders,gas,185852.0,automatic,fwd,van,16.0,budget
5999,2013.0,other,like new,4 cylinders,gas,91000.0,automatic,fwd,sedan,10.0,budget
38990,2017.0,jeep,good,6 cylinders,gas,20676.0,other,4wd,other,6.0,premium
21998,2009.0,chevrolet,,8 cylinders,gas,92518.0,automatic,4wd,SUV,14.0,mid
4400,2006.0,other,,6 cylinders,gas,124201.0,automatic,fwd,sedan,17.0,budget
13500,2013.0,other,excellent,6 cylinders,gas,108829.0,automatic,fwd,SUV,10.0,mid
